trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,portfolio_value_before,portfolio_value_after
248,2020-02-07 05:00:00+00:00,UBER,SELL,196.89233793456063,40.630001068115234,7999.735900584904,752.1286708232483,10.377613562372677,True,False,124231.81276327091,122383.52917587846
249,2020-02-08 00:00:00+00:00,ADA,BUY,126781.76756367963,0.05994400009512901,7599.806286897837,,,,,122456.08754743681,122383.52917587846
250,2020-02-08 00:00:00+00:00,ATOM,BUY,82.11459703273842,4.627561092376709,379.9903143448922,,,,,122456.08754743681,122383.52917587846
251,2020-02-08 00:00:00+00:00,DOGE,SELL,38157.5435269012,0.0031590000726282597,120.53968277279688,14.881448679187699,14.084513911147994,True,False,122456.08754743681,122398.41062455764
252,2020-02-08 00:00:00+00:00,LINK,BUY,39.10203324152874,3.414457082748413,133.5122143514017,,,,,122456.08754743681,122398.41062455764
253,2020-02-08 00:00:00+00:00,MATIC,SELL,996.1038520721194,0.02115499973297119,21.072576724597262,-1.7999601468356623,-7.869525610356565,False,True,122456.08754743681,122396.61066441081
254,2020-02-08 00:00:00+00:00,UNI,SELL,432.7002646911621,0.0023849999997764826,1.0319901311917055,-0.11163671237994133,-9.761637985978897,False,True,122456.08754743681,122396.49902769845
255,2020-02-09 00:00:00+00:00,ALGO,SELL,63.19257470140358,0.3411160111427307,21.555999015981826,3.4369809415776693,18.96891391941886,True,False,123009.18460325304,122399.93600864003
256,2020-02-09 00:00:00+00:00,FIL,SELL,0.06383539896210397,3.8853468894958496,0.24802266879713725,-0.01612291643688646,-6.103799320591379,False,True,123009.18460325304,122399.91988572358
257,2020-02-09 00:00:00+00:00,UNI,BUY,96391.97546757442,0.0005019999807700515,48.388769831109634,,,,,123009.18460325304,122399.91988572359
258,2020-02-10 00:00:00+00:00,DOGE,BUY,810.2607357007491,0.002985999919474125,2.419438491555482,,,,,122721.77375508494,122399.91988572359
259,2020-02-10 00:00:00+00:00,FIL,BUY,0.030245990020132053,3.9996020793914795,0.1209719245777741,,,,,122721.77375508494,122399.91988572358
260,2020-02-10 00:00:00+00:00,MATIC,BUY,0.27992391961310986,0.021608000621199608,0.006048596228888707,,,,,122721.77375508494,122399.91988572359
261,2020-02-10 00:00:00+00:00,UNI,SELL,96391.97546757442,0.0019099999917671084,184.10867234948245,135.7199025183728,280.47810058423323,True,False,122721.77375508494,122535.63978824196
262,2020-02-10 05:00:00+00:00,ADBE,SELL,0.7570781249451523,370.0,280.11890622970634,26.92927444930487,10.636009958204525,True,False,125167.60840194643,122562.56906269125
263,2020-02-10 05:00:00+00:00,AMZN,SELL,93.77000847263666,106.69550323486328,10004.838242325362,1083.1848194751074,12.141077086684856,True,False,125167.60840194643,123645.75388216636
264,2020-02-10 05:00:00+00:00,NVDA,SELL,0.027020479413604914,6.545013427734375,0.1768494005858644,0.018090452368938886,11.394918253187468,True,False,125167.60840194643,123645.77197261874
265,2020-02-10 05:00:00+00:00,TSLA,BUY,181.20189050087032,51.41866683959961,9317.15963836986,,,,,125167.60840194643,123645.77197261874
266,2020-02-10 05:00:00+00:00,UBER,BUY,27.355141931592676,40.0099983215332,1094.4791827683255,,,,,125167.60840194643,123645.77197261874
267,2020-02-11 00:00:00+00:00,ALGO,BUY,148.2142486396253,0.3692219853401184,54.723959138416404,,,,,124713.48378184653,123645.77197261874
268,2020-02-11 00:00:00+00:00,ATOM,SELL,82.11459703273842,5.102925777435303,419.0246939020733,39.03437955718107,10.272466977079876,True,False,124713.48378184653,123684.80635217592
269,2020-02-11 00:00:00+00:00,FIL,SELL,0.030245990020132053,5.657339096069336,0.17111182184021603,0.05013989726244193,41.44754862538909,True,False,124713.48378184653,123684.85649207317
270,2020-02-11 00:00:00+00:00,LINK,SELL,39.10203324152874,3.9755589962005615,155.45244002309298,21.94022567169128,16.433122451212597,True,False,124713.48378184653,123706.79671774487
271,2020-02-11 00:00:00+00:00,UNI,BUY,281071.74283021904,0.0019519999623298645,548.652031416577,,,,,124713.48378184653,123706.79671774487
272,2020-02-11 00:00:00+00:00,VET,SELL,7548.686212654021,0.00750300008803606,56.63779331809971,7.518492475211808,15.306595057735697,True,False,124713.48378184653,123714.3152102201
273,2020-02-11 05:00:00+00:00,ADBE,BUY,0.21999162015697604,369.2799987792969,81.23850522302365,,,,,125740.50650554434,123714.3152102201
274,2020-02-11 05:00:00+00:00,AMD,SELL,184.36977754454716,53.79999923706055,9919.09389123366,997.4404683834055,11.17999569260052,True,False,125740.50650554434,124711.75567860351
275,2020-02-11 05:00:00+00:00,AMZN,BUY,87.66227489004946,107.54000091552734,9427.201121933129,,,,,125740.50650554434,124711.7556786035
276,2020-02-11 05:00:00+00:00,NFLX,BUY,12.613665408242428,37.36899948120117,471.3600560966564,,,,,125740.50650554434,124711.7556786035
277,2020-02-11 05:00:00+00:00,NVDA,BUY,3.5347752502762027,6.667468547821045,23.568002804832844,,,,,125740.50650554434,124711.7556786035
278,2020-02-12 00:00:00+00:00,ADA,SELL,126781.76756367963,0.06837300211191177,8668.450061383375,1068.6437744855384,14.061460702332557,True,False,127746.86743616202,125780.39945308903
279,2020-02-12 00:00:00+00:00,ATOM,BUY,1611.6117080344975,5.11053991317749,8236.205958454448,,,,,127746.86743616202,125780.39945308905
280,2020-02-12 00:00:00+00:00,ETH,SELL,0.02371932466883081,265.4061279296875,6.295254117461503,1.0123424127810354,19.16258437338896,True,False,127746.86743616202,125781.41179550183
281,2020-02-12 00:00:00+00:00,FIL,BUY,69.7140007068728,5.99292516708374,417.7907893343116,,,,,127746.86743616202,125781.41179550183
282,2020-02-12 00:00:00+00:00,LINK,BUY,5.189794478199361,4.025118827819824,20.889539466715608,,,,,127746.86743616202,125781.41179550183
283,2020-02-12 00:00:00+00:00,LTC,SELL,0.6612766253808819,81.29744720458984,53.76010153953158,7.317622800836119,15.756314046044103,True,False,127746.86743616202,125788.72941830265
284,2020-02-12 00:00:00+00:00,XLM,SELL,35.73196380778466,0.08004000037908554,2.8599863967205548,0.4040213545761553,16.45061503902305,True,False,127746.86743616202,125789.13343965723
