trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
8809,2024-12-13 06:00:00+00:00,VIX,SELL,123.52409685373267,13.8100004196167,1705.867829382822,28.410603533272933,1.6936708188719607,True,False,0.5788708058180251,SUN,APPROVE,EXECUTE,1913415.8320733502,1913415.8320733502
8810,2024-12-15 00:00:00+00:00,XRP,SELL,1034.7794266904718,2.4469499588012695,2532.0534755086514,235.92765862658325,10.275031833706384,True,False,0.607310681715266,SUN,APPROVE,EXECUTE,1914042.543028556,1913651.7597319768
8811,2024-12-15 00:00:00+00:00,UNI,SELL,12233396.006256556,0.0002099999983329326,2569.013140919981,281.3681143873955,12.299465656779319,True,False,0.59805,SUN,APPROVE,EXECUTE,1914042.543028556,1913933.1278463642
8812,2024-12-16 00:00:00+00:00,XRP,BUY,898.758558859042,2.4886579513549805,2236.702633852898,,,,,0.5842499999999999,SUN,APPROVE,EXECUTE,1914165.7114701741,1913933.1278463642
8813,2024-12-16 05:00:00+00:00,TTE,SELL,23.948537629156174,50.99199295043945,1221.1836619592657,-67.1674332804057,-5.213441703009581,False,True,0.5614898237093319,SUN,APPROVE,EXECUTE,1913723.1532922648,1913865.960413084
8814,2024-12-16 05:00:00+00:00,AMD,BUY,17.81700541328975,126.69000244140625,2257.2364593082266,,,,,0.58975,SUN,APPROVE,EXECUTE,1913723.1532922648,1913865.960413084
8815,2024-12-16 05:00:00+00:00,IWM,BUY,11.403385338199636,231.14657592773438,2635.853474909375,,,,,0.6886715746671082,SUN,APPROVE,EXECUTE,1913723.1532922648,1913865.960413084
8816,2024-12-16 05:00:00+00:00,NVDA,SELL,17.928058207950166,131.96389770507812,2365.856439404622,-60.77172941519666,-2.5043692394271,False,True,0.5676647727623017,SUN,APPROVE,EXECUTE,1913723.1532922648,1913805.1886836688
8817,2024-12-17 00:00:00+00:00,UNI,BUY,11044748.214718463,0.00021300000662449747,2352.531442900939,,,,,0.6145949887891892,SUN,APPROVE,EXECUTE,1913887.5892363284,1913805.1886836688
8818,2024-12-17 05:00:00+00:00,TTE,BUY,24.04534049513114,51.05788040161133,1227.7041192164274,,,,,0.5346601451944476,SUN,APPROVE,EXECUTE,1913527.2662629618,1913805.1886836688
8819,2024-12-17 05:00:00+00:00,AMD,SELL,17.81700541328975,125.0199966430664,2227.4819569589804,-29.754502349246195,-1.3181827817172966,False,True,0.54055,SUN,APPROVE,EXECUTE,1913527.2662629618,1913775.4341813195
8820,2024-12-18 00:00:00+00:00,XRP,SELL,898.758558859042,2.3033180236816406,2070.126787558168,-166.57584629473013,-7.447384546053401,False,True,0.57705,SUN,APPROVE,EXECUTE,1913124.8893822285,1913608.858335025
8821,2024-12-18 00:00:00+00:00,TRX,SELL,8707.749498129278,0.25797900557518005,2246.4165563251645,-284.56929570195507,-11.243417084850062,False,True,0.6612,SUN,APPROVE,EXECUTE,1913124.8893822285,1913324.289039323
8822,2024-12-18 00:00:00+00:00,UNI,SELL,11044748.214718463,0.0002010000025620684,2219.9944194558116,-132.5370234451275,-5.633804548928547,False,True,0.6145949887891892,SUN,APPROVE,EXECUTE,1913124.8893822285,1913191.752015878
8823,2024-12-18 05:00:00+00:00,VTI,BUY,9.218118110559676,285.9676208496094,2636.083304787447,,,,,0.68925,SUN,APPROVE,EXECUTE,1912283.862740259,1913191.752015878
8824,2024-12-18 05:00:00+00:00,AMD,BUY,10.360920927488214,121.41000366210938,1257.9194477491699,,,,,0.5481750000000001,SUN,APPROVE,EXECUTE,1912283.862740259,1913191.752015878
8825,2024-12-18 05:00:00+00:00,META,BUY,4.564583638598979,595.3128662109375,2717.355368953908,,,,,0.7105,SUN,APPROVE,EXECUTE,1912283.862740259,1913191.752015878
8826,2024-12-18 05:00:00+00:00,ADBE,SELL,5.531130149262512,441.30999755859375,2440.943032667303,-184.297297084634,-7.0202066834029075,False,True,0.6454306152460644,SUN,APPROVE,EXECUTE,1912283.862740259,1913007.4547187933
8827,2024-12-18 05:00:00+00:00,TLT,BUY,29.21294529499984,85.03572082519531,2484.1438605873095,,,,,0.6495227797999582,SUN,APPROVE,EXECUTE,1912283.862740259,1913007.4547187933
8828,2024-12-18 05:00:00+00:00,IWM,SELL,11.403385338199636,218.38409423828125,2490.3179783328237,-145.5354965765514,-5.521380378761575,False,True,0.6886715746671082,SUN,APPROVE,EXECUTE,1912283.862740259,1912861.9192222166
8829,2024-12-18 05:00:00+00:00,ROKU,BUY,29.639238603768174,78.48999786376953,2326.383774693519,,,,,0.6082736512140684,SUN,APPROVE,EXECUTE,1912283.862740259,1912861.9192222166
8830,2024-12-18 05:00:00+00:00,ORCL,SELL,14.702120762872982,163.3491973876953,2401.579626512272,-191.21483683899123,-7.374855181996972,False,True,0.61,SUN,APPROVE,EXECUTE,1912283.862740259,1912670.7043853775
8831,2024-12-18 05:00:00+00:00,INTC,SELL,92.8286259508801,19.299999237060547,1791.5924100293648,-150.38245194530896,-7.743789834251221,False,True,0.48817499999999997,H:0.49,APPROVE,EXECUTE,1912283.862740259,1912520.3219334322
8832,2024-12-18 05:00:00+00:00,GOOGL,BUY,14.16393164444529,187.66502380371094,2658.07456920896,,,,,0.6950000000000001,SUN,APPROVE,EXECUTE,1912283.862740259,1912520.3219334322
8833,2024-12-18 05:00:00+00:00,PYPL,BUY,30.236604393500333,85.25291442871094,2577.758646973869,,,,,0.674,SUN,APPROVE,EXECUTE,1912283.862740259,1912520.3219334322
8834,2024-12-19 00:00:00+00:00,ETH,SELL,0.6693011934115003,3417.927978515625,2287.6232750150643,-201.30066750270407,-8.087859338082886,False,True,0.6505,SUN,APPROVE,EXECUTE,1912319.0212659296,1912319.0212659296
8835,2024-12-19 00:00:00+00:00,XRP,BUY,950.7636377931633,2.2488911151885986,2138.1638976774357,,,,,0.5590499999999999,SUN,APPROVE,EXECUTE,1912319.0212659296,1912319.0212659296
8836,2024-12-19 00:00:00+00:00,TRX,BUY,6676.424131752246,0.25148600339889526,1679.0272218903117,,,,,0.6271470111190736,SUN,APPROVE,EXECUTE,1912319.0212659296,1912319.0212659296
8837,2024-12-19 00:00:00+00:00,UNI,BUY,11216336.830130292,0.000195999993593432,2198.401946847313,,,,,0.5748,SUN,APPROVE,EXECUTE,1912319.0212659296,1912319.0212659296
8838,2024-12-19 05:00:00+00:00,EFA,BUY,36.858805216789534,72.71041870117188,2680.019160137705,,,,,0.7008000000000001,SUN,APPROVE,EXECUTE,1912114.1268105768,1912319.0212659296
8839,2024-12-19 05:00:00+00:00,ADBE,BUY,5.1753671916199115,437.3900146484375,2263.653931753676,,,,,0.5919243783658119,SUN,APPROVE,EXECUTE,1912114.1268105768,1912319.0212659296
8840,2024-12-19 05:00:00+00:00,IWM,BUY,11.533197769351183,217.4149932861328,2507.4901155911293,,,,,0.65568526492026,SUN,APPROVE,EXECUTE,1912114.1268105768,1912319.0212659296
8841,2024-12-19 05:00:00+00:00,SPY,BUY,4.594373684174501,577.3540649414062,2652.5803224179726,,,,,0.693625,SUN,APPROVE,EXECUTE,1912114.1268105768,1912319.0212659296
8842,2024-12-20 00:00:00+00:00,ETH,BUY,0.688513454430586,3472.553466796875,2390.8997831192237,,,,,0.625125,SUN,APPROVE,EXECUTE,1912337.359023574,1912319.0212659296
8843,2024-12-20 05:00:00+00:00,TSLA,BUY,6.2021479172047,421.05999755859375,2611.4763868762484,,,,,0.68275,SUN,APPROVE,EXECUTE,1912468.976108567,1912319.0212659296
8844,2024-12-22 00:00:00+00:00,ETH,SELL,0.688513454430586,3277.53515625,2256.627052447378,-134.2727306718457,-5.615991586927594,False,True,0.625125,SUN,APPROVE,EXECUTE,1912030.8137866154,1912184.7485352575
8845,2024-12-23 00:00:00+00:00,ETH,BUY,0.6763688236482301,3415.785400390625,2310.330753097006,,,,,0.604125,SUN,APPROVE,EXECUTE,1912129.7356482567,1912184.7485352575
8846,2024-12-23 05:00:00+00:00,GOOGL,SELL,14.16393164444529,193.87071228027344,2745.971516597713,87.89694738875323,3.30679012571537,True,False,0.6745000000000001,SUN,APPROVE,EXECUTE,1912513.3271155907,1912272.6454826463
8847,2024-12-24 05:00:00+00:00,TSLA,SELL,6.2021479172047,462.2799987792969,2867.1289315944073,255.65254471815888,9.789579029047282,True,False,0.66855,SUN,APPROVE,EXECUTE,1912976.074934453,1912528.2980273643
8848,2024-12-26 05:00:00+00:00,TSLA,BUY,3.4830643457951744,454.1300048828125,1581.7640283631126,,,,,0.68905,SUN,APPROVE,EXECUTE,1912976.8381142067,1912528.2980273643
8849,2024-12-27 05:00:00+00:00,AMD,SELL,10.360920927488214,125.19000244140625,1297.0837162074668,39.164268458296874,3.1134162468331805,True,False,0.537375,SUN,APPROVE,EXECUTE,1912553.858704903,1912567.4622958226
8850,2024-12-27 05:00:00+00:00,ORCL,BUY,14.259193394772819,166.85494995117188,2379.2170002288995,,,,,0.622,SUN,APPROVE,EXECUTE,1912553.858704903,1912567.4622958226
8851,2024-12-27 05:00:00+00:00,GOOGL,BUY,13.84551535966505,192.0080108642578,2658.449863599815,,,,,0.6950000000000001,SUN,APPROVE,EXECUTE,1912553.858704903,1912567.4622958226
8852,2024-12-29 00:00:00+00:00,XRP,SELL,950.7636377931633,2.093179941177368,1990.119375429474,-148.0445222479616,-6.923908986059199,False,True,0.5590499999999999,SUN,APPROVE,EXECUTE,1912323.5862341311,1912419.4177735748
8853,2024-12-30 00:00:00+00:00,XRP,BUY,1005.6882454613431,2.0575709342956543,2069.274902824053,,,,,0.5410499999999999,SUN,APPROVE,EXECUTE,1912276.9640736098,1912419.4177735748
8854,2024-12-30 00:00:00+00:00,UNI,SELL,11216336.830130292,0.00018600000475998968,2086.238703793882,-112.16324305343096,-5.102035285871274,False,True,0.5748,SUN,APPROVE,EXECUTE,1912276.9640736098,1912307.2545305213
8855,2024-12-30 05:00:00+00:00,MSFT,BUY,6.234294047860557,420.7586975097656,2623.1334434706923,,,,,0.686,SUN,APPROVE,EXECUTE,1911904.8421798046,1912307.2545305213
8856,2024-12-30 05:00:00+00:00,TSLA,SELL,3.4830643457951744,417.4100036621094,1453.8659013337262,-127.89812702938639,-8.085790594298802,False,True,0.68275,SUN,APPROVE,EXECUTE,1911904.8421798046,1912179.356403492
8857,2024-12-30 05:00:00+00:00,EEM,BUY,62.775730125607176,40.97108840942383,2571.9899889423823,,,,,0.6726250000000001,SUN,APPROVE,EXECUTE,1911904.8421798046,1912179.356403492
8858,2024-12-31 00:00:00+00:00,UNI,BUY,11219723.097462226,0.0001880000054370612,2109.3080033252195,,,,,0.55155,SUN,APPROVE,EXECUTE,1912163.9047459154,1912179.356403492
8859,2024-12-31 05:00:00+00:00,ROKU,SELL,29.639238603768174,74.33999633789062,2203.3808892619927,-123.00288543152647,-5.287299832880369,False,True,0.6082736512140684,SUN,APPROVE,EXECUTE,1911789.349632449,1912056.3535180604
8860,2024-12-31 05:00:00+00:00,TSLA,BUY,3.734437010037327,403.8399963378906,1508.1150284575574,,,,,0.657375,SUN,APPROVE,EXECUTE,1911789.349632449,1912056.3535180604
8861,2025-01-01 00:00:00+00:00,ETH,SELL,0.6763688236482301,3353.504150390625,2268.2056572991646,-42.12509579784137,-1.8233361496561713,False,True,0.5407,SUN,APPROVE,EXECUTE,1912328.5012627689,1912014.2284222625
8862,2025-01-01 00:00:00+00:00,XRP,SELL,1005.6882454613431,2.322340965270996,2335.55101072639,266.2761079023371,12.8680876348974,True,False,0.5410499999999999,SUN,APPROVE,EXECUTE,1912328.5012627689,1912280.5045301649
8863,2025-01-02 00:00:00+00:00,XRP,BUY,991.8210076418635,2.403369903564453,2383.712759489424,,,,,0.6232092968658824,SUN,APPROVE,EXECUTE,1912449.6148221055,1912280.5045301649
8864,2025-01-02 05:00:00+00:00,CRM,SELL,7.661344724560563,328.5153503417969,2516.869346278291,-156.1094847960544,-5.840281373770162,False,True,0.6895,SUN,APPROVE,EXECUTE,1911988.8595457145,1912124.3950453687
8865,2025-01-02 05:00:00+00:00,ROKU,BUY,30.143949716203043,74.48999786376953,2245.422749965541,,,,,0.5871955630795489,SUN,APPROVE,EXECUTE,1911988.8595457145,1912124.3950453687
8866,2025-01-02 05:00:00+00:00,TSLA,SELL,3.734437010037327,379.2799987792969,1416.3972646083184,-91.71776384923896,-6.081615932376485,False,True,0.657375,SUN,APPROVE,EXECUTE,1911988.8595457145,1912032.6772815196
